,Yes,Yes,"Microsoft EPMAP (End Point Mapper), also known as DCE/RPC Locator service,[67] used to remotely manage services including DHCP server, DNS server and WINS. Also used by DCOM",Official 
137,Yes,Yes,"NetBIOS Name Service, used for name registration and resolution[68][69] ",Official
138,Assigned,Yes,NetBIOS Datagram Service[10][68][69] ,Official
139,Yes,Assigned,NetBIOS Session Service[68][69] ,Official
143,Yes,Assigned,"Internet Message Access Protocol (IMAP),[10] management of electronic mail messages on a server[70] ",Official
152,Yes,Yes,Background File Transfer Program (BFTP)[71][importance?] ,Official
153,Yes,Yes,"Simple Gateway Monitoring Protocol (SGMP), a protocol for remote inspection and alteration of gateway management information[72] ",Official
156,Yes,Yes,Structured Query Language (SQL) Service[jargon] ,Official
158,Yes,Yes,"Distributed Mail System Protocol (DMSP, sometimes referred to as Pcmail)[73][importance?] ",Official
161,Assigned,Yes,Simple Network Management Protocol (SNMP)[74][citation needed][10] ,Official
162,Yes,Yes,Simple Network Management Protocol Trap (SNMPTRAP)[74][75][citation needed] ,Official
170,Yes,Yes,Network PostScript print server ,Official
177,Yes,Yes,"X Display Manager Control Protocol (XDMCP), used for remote logins to an X Display Manager server[76][self-published source] ",Official
179,Yes,Assigned,"Border Gateway Protocol (BGP),[77] used to exchange routing and reachability information among autonomous systems (AS) on the Internet ",Official
194,Yes,Yes,Internet Relay Chat (IRC)[78] ,Official
199,Yes,Yes,SNMP Unix Multiplexer (SMUX)[79] ,Official
201,Yes,Yes,AppleTalk Routing Maintenance ,Official
209,Yes,Assigned,Quick Mail Transfer Protocol[80][self-published source] ,Official
210,Yes,Yes,ANSI Z39.50 ,Official
213,Yes,Yes,Internetwork Packet Exchange (IPX) ,Official
218,Yes,Yes,Message posting protocol (MPP) ,Official
220,Yes,Yes,"Internet Message Access Protocol (IMAP), version 3 ",Official
225–241,Reserved,Reserved,,Official
249–255,Reserved,Reserved,,Official
259,Yes,Yes,Efficient Short Remote Operations (ESRO) ,Official
262,Yes,Yes,Arcisdms ,Official
